state_rate_area,plan_id,state,metal_level,rate,rate_area
GA 7,74449NR9870320,GA,Silver,298.62,7
FL 60,26325VH2723968,FL,Silver,421.43,60
IL 5,09846WB8636633,IL,Gold,361.69,5
SC 2,78590JQ3204809,SC,Gold,379.97,2
AR 2,21163YD2193896,AR,Gold,359.75,2
TX 11,36956VI7724021,TX,Silver,310.12,11
FL 18,39287DQ4265604,FL,Platinum,420.79,18
WI 1,12654WJ5898785,WI,Bronze,332.97,1
SC 23,97573AL3146346,SC,Gold,338.17,23
WV 9,48279KR8882106,WV,Gold,356.81,9
PA 3,72516MB1294942,PA,Gold,290.53,3
FL 17,47733MN6034814,FL,Gold,426.97,17
AZ 4,72190DW3284384,AZ,Silver,353.37,4
WI 14,39103VX4715005,WI,Bronze,294.39,14
NV 1,80895CM6393587,NV,Platinum,325.2669285,1
TX 15,18378UN5835046,TX,Gold,249.89,15
IL 8,04175ZU5314839,IL,Gold,350.99,8
GA 13,22521KG6880321,GA,Silver,285.76,13
PA 5,52890CP9247848,PA,Silver,264.46,5
WI 11,71371IL9623602,WI,Silver,348.73,11
MI 6,82206LV3597031,MI,Silver,321.99,6
MT 1,25775GT9423594,MT,Silver,262.93,1
SC 25,65128VB5535475,SC,Silver,266.62,25
SC 19,94970PT4045197,SC,Gold,377.73,19
MI 4,66347PV5658737,MI,Silver,361.0751527,4
OK 1,92438SK6995299,OK,Gold,323.6,1
AZ 3,63200WG1022541,AZ,Silver,479.87,3
SC 2,33663BA5215273,SC,Silver,313.69,2
FL 23,77172PK5440017,FL,Bronze,321.34,23
OK 4,17662QG3782234,OK,Gold,355.65,4
FL 51,63873DP5169240,FL,Platinum,465.24,51
OH 13,18967OW9854153,OH,Silver,417.28,13
FL 47,86526XI6166962,FL,Bronze,270.9,47
SC 12,50264NS9065224,SC,Silver,307.19,12
SC 6,83527KZ9123077,SC,Gold,381.19,6
FL 53,46601NA4952033,FL,Bronze,404.96,53
OH 2,60054LH1276586,OH,Silver,359.54,2
TX 22,07759CC2199769,TX,Silver,230.27,22
IL 1,38496MI4383386,IL,Bronze,252.1,1
TX 10,77276RJ2424533,TX,Gold,420.75,10
AZ 1,80357TQ1948304,AZ,Bronze,279.13,1
OR 2,82305NV4894008,OR,Bronze,202,2
UT 3,85388YE4619424,UT,Gold,279.67,3
MI 3,21251UI1952919,MI,Bronze,267.66,3
NM 2,36388AG9985971,NM,Silver,294.69,2
OK 4,31039LG0752374,OK,Bronze,287.91,4
IA 3,08513NQ7665832,IA,Silver,374.3,3
FL 40,24911VQ2394206,FL,Bronze,253.25,40
IN 12,03648LP9760686,IN,Silver,338.09,12
IL 8,37112PP6548378,IL,Gold,326.17,8
SC 43,98185KN3868024,SC,Gold,384.13,43
AL 6,52161YL6358432,AL,Silver,245.82,6
TX 26,30922AS3489028,TX,Bronze,197.09,26
OH 1,26497HW1710262,OH,Silver,337.65,1
SC 8,24244YZ0779987,SC,Bronze,256.69,8
FL 42,94641JE1613033,FL,Bronze,262.96,42
VA 3,84739IP7991498,VA,Silver,297.33,3
TX 12,17589HK6044932,TX,Gold,342.26,12
FL 37,62823VB3781488,FL,Bronze,317.7,37
NE 3,88833OR5225641,NE,Silver,389.42,3
AL 9,31727UX6116202,AL,Gold,312.06,9
